-- COMPILE DATE : Ver:10/21, BuildDate:Nov 29 2011 16:28:42, BuildVer:DIST --
[00:08:-100][S][KICKVOTE_RESULT] KickedUser:bwzj13d74dd(UID:1625103) Reason:0, Agreement:5, Disagreement:1
[06:29:-100][10.33.61.2:46054:-1:2][ERROR]SendErrorMessage(UID:-1, Protocol:0, BackProtocol:0,timestamp(41), Error:800010af, KillReason:2, Message:)
[06:31:-100][10.33.61.2:46054:-1:2]KILL USER : (KillReasoun : 2)(16563) 
[06:32:-100][83.149.3.202:54613:2863361:22]KILL USER : (KillReasoun : 22)(1) 
[06:35:-100][94.178.26.246:61633:1183434:22]KILL USER : (KillReasoun : 22)(1) 
[06:38:-100][109.87.28.134:15113:1811028:22]KILL USER : (KillReasoun : 22)(1) 
[06:48:-100][31.162.50.225:50948:2950708:22]KILL USER : (KillReasoun : 22)(1) 
[06:51:-100][81.21.82.18:21102:843894:22]KILL USER : (KillReasoun : 22)(1) 
[06:51:-100][188.227.217.150:41972:2953481:22]KILL USER : (KillReasoun : 22)(1) 
[06:52:-100][83.237.42.229:38849:983078:22]KILL USER : (KillReasoun : 22)(1) 
[07:11:-100][217.118.81.17:12137:1936934:22]KILL USER : (KillReasoun : 22)(1) 
[07:16:-100][46.241.177.251:60363:2716803:22]KILL USER : (KillReasoun : 22)(1) 
[07:20:0021][31.162.169.69:30888:-1:7][ERROR]SendErrorMessage(UID:-1, Protocol:43017, BackProtocol:0,timestamp(6), Error:800010d3, KillReason:7, Message:)
[07:22:-100][31.162.169.69:30888:-1:7]KILL USER : (KillReasoun : 7)(16614) 
[07:37:-100][77.51.15.22:28678:2912248:22]KILL USER : (KillReasoun : 22)(1) 
[07:38:-100][194.154.68.30:13831:903107:22]KILL USER : (KillReasoun : 22)(1) 
[07:43:-100][188.17.51.94:48578:1152306:22]KILL USER : (KillReasoun : 22)(1) 
[07:45:-100][78.85.181.204:52952:2217005:22]KILL USER : (KillReasoun : 22)(1) 
[07:47:-100][178.46.127.174:50192:2206103:22]KILL USER : (KillReasoun : 22)(1) 
[07:48:-100][31.162.169.69:26281:-1:22]KILL USER : (KillReasoun : 22)(1) 
[07:49:-100][S][KICKVOTE_RESULT] KickedUser:bwzk1a4c079(UID:2766791) Reason:0, Agreement:3, Disagreement:1
[07:51:-100][109.105.130.15:37834:-1:2][ERROR]SendErrorMessage(UID:-1, Protocol:0, BackProtocol:0,timestamp(41), Error:800010af, KillReason:2, Message:)
[07:52:-100][93.94.182.180:36616:329055:22]KILL USER : (KillReasoun : 22)(1) 
[07:52:-100][S][KICKVOTE_RESULT] KickedUser:bwzv1a2fc48(UID:2752535) Reason:0, Agreement:6, Disagreement:1
[07:53:-100][109.105.130.15:37834:-1:2]KILL USER : (KillReasoun : 2)(16645) 
[07:57:-100][188.17.134.163:2245:1090269:22]KILL USER : (KillReasoun : 22)(1) 
[07:58:-100][S][KICKVOTE_RESULT] KickedUser:bwzq1b83553(UID:2922860) Reason:0, Agreement:2, Disagreement:1
[07:58:-100][109.127.36.202:62212:1621499:22]KILL USER : (KillReasoun : 22)(1) 
[08:06:0045][83.149.3.202:28204:-1:7][ERROR]SendErrorMessage(UID:-1, Protocol:41948, BackProtocol:0,timestamp(5), Error:800010d3, KillReason:7, Message:)
[08:08:-100][83.149.3.202:28204:-1:7]KILL USER : (KillReasoun : 7)(16660) 
[08:10:-100][46.241.177.251:62411:-1:2][ERROR]SendErrorMessage(UID:-1, Protocol:0, BackProtocol:0,timestamp(41), Error:800010af, KillReason:2, Message:)
[08:12:-100][178.126.159.95:19906:2444710:22]KILL USER : (KillReasoun : 22)(1) 
[08:12:-100][46.241.177.251:62411:-1:2]KILL USER : (KillReasoun : 2)(16664) 
[08:20:-100][95.84.40.125:57649:944809:22]KILL USER : (KillReasoun : 22)(1) 
[08:21:-100][81.26.182.223:8964:2367578:22]KILL USER : (KillReasoun : 22)(1) 
[08:22:-100][178.206.52.167:48677:2676051:22]KILL USER : (KillReasoun : 22)(1) 
[08:27:0023][94.181.162.98:58118:-1:7][ERROR]SendErrorMessage(UID:-1, Protocol:43017, BackProtocol:0,timestamp(2), Error:800010d3, KillReason:7, Message:)
[08:29:-100][10.33.61.2:62913:-1:2][ERROR]SendErrorMessage(UID:-1, Protocol:0, BackProtocol:0,timestamp(41), Error:800010af, KillReason:2, Message:)
[08:29:-100][94.181.162.98:58118:-1:7]KILL USER : (KillReasoun : 7)(16681) 
[08:29:-100][90.189.186.219:37893:2425412:22]KILL USER : (KillReasoun : 22)(1) 
[08:29:-100][94.241.63.106:33029:2867994:22]KILL USER : (KillReasoun : 22)(1) 
[08:29:-100][188.16.54.62:63496:250547:22]KILL USER : (KillReasoun : 22)(1) 
[08:29:-100][93.94.176.242:55237:2034468:22]KILL USER : (KillReasoun : 22)(1) 
[08:29:-100][213.87.132.192:24618:2888025:22]KILL USER : (KillReasoun : 22)(1) 
[08:29:-100][188.253.178.207:32052:1612245:22]KILL USER : (KillReasoun : 22)(1) 
[08:29:-100][178.129.249.194:44131:1686506:22]KILL USER : (KillReasoun : 22)(1) 
[08:30:-100][94.50.105.191:3082:2671379:22]KILL USER : (KillReasoun : 22)(1) 
[08:31:-100][10.33.61.2:62913:-1:2]KILL USER : (KillReasoun : 2)(16683) 
[08:32:-100][31.163.56.184:31714:2953539:22]KILL USER : (KillReasoun : 22)(1) 
[08:32:-100][95.56.158.125:35011:2292340:22]KILL USER : (KillReasoun : 22)(1) 
[08:36:-100][85.26.234.31:33109:2743049:22]KILL USER : (KillReasoun : 22)(1) 
[08:36:-100][195.78.104.5:6899:2913489:22]KILL USER : (KillReasoun : 22)(1) 
[08:36:-100][46.233.219.176:60874:2551876:22]KILL USER : (KillReasoun : 22)(1) 
[08:36:-100][194.44.21.44:35596:1633997:22]KILL USER : (KillReasoun : 22)(1) 
[08:36:-100][92.124.14.226:48400:2097859:22]KILL USER : (KillReasoun : 22)(1) 
[08:36:-100][85.26.165.84:8306:2946105:22]KILL USER : (KillReasoun : 22)(1) 
[08:38:-100][188.17.134.163:3525:-1:2][ERROR]SendErrorMessage(UID:-1, Protocol:0, BackProtocol:0,timestamp(41), Error:800010af, KillReason:2, Message:)
[08:38:-100][93.92.200.150:17390:2234143:22]KILL USER : (KillReasoun : 22)(1) 
[08:39:-100][95.52.61.7:14275:1452687:22]KILL USER : (KillReasoun : 22)(1) 
[08:39:-100][89.232.229.162:13518:2925090:22]KILL USER : (KillReasoun : 22)(1) 
[08:39:-100][188.17.164.147:24070:1956796:22]KILL USER : (KillReasoun : 22)(1) 
[08:39:-100][46.180.165.243:48136:2329730:22]KILL USER : (KillReasoun : 22)(1) 
[08:39:-100][128.71.11.134:19433:604368:22]KILL USER : (KillReasoun : 22)(1) 
[08:40:-100][188.17.134.163:3525:-1:2]KILL USER : (KillReasoun : 2)(16692) 
[08:40:-100][2.95.235.196:22859:2916036:22]KILL USER : (KillReasoun : 22)(1) 
[08:41:-100][93.186.211.36:48733:399918:22]KILL USER : (KillReasoun : 22)(1) 
[08:41:-100][46.138.116.148:39173:2609735:22]KILL USER : (KillReasoun : 22)(1) 
[08:41:-100][213.87.120.30:52912:1871718:22]KILL USER : (KillReasoun : 22)(1) 
[08:45:-100][78.85.181.204:62936:2217005:22]KILL USER : (KillReasoun : 22)(1) 
[08:47:-100][195.58.236.66:55321:1088067:22]KILL USER : (KillReasoun : 22)(1) 
[08:47:-100][194.28.184.249:64744:12264:22]KILL USER : (KillReasoun : 22)(1) 
[08:48:-100][77.243.114.226:14024:2797773:22]KILL USER : (KillReasoun : 22)(1) 
[08:48:-100][213.87.121.94:10175:1822760:22]KILL USER : (KillReasoun : 22)(1) 
[08:50:-100][80.87.145.36:28685:1047991:22]KILL USER : (KillReasoun : 22)(1) 
[08:50:-100][178.187.142.193:46601:2358414:22]KILL USER : (KillReasoun : 22)(1) 
[08:52:-100][178.49.155.39:25707:2926676:22]KILL USER : (KillReasoun : 22)(1) 
[08:52:-100][178.177.211.42:14604:-1:22]KILL USER : (KillReasoun : 22)(1) 
[08:52:-100][94.31.137.58:51914:2593534:22]KILL USER : (KillReasoun : 22)(1) 
[08:56:-100][95.54.229.254:968:2535798:22]KILL USER : (KillReasoun : 22)(1) 
[09:00:-100][109.191.43.58:28433:1893050:22]KILL USER : (KillReasoun : 22)(1) 
[09:07:-100][188.126.54.58:1753:2648341:22]KILL USER : (KillReasoun : 22)(1) 
[09:08:0043][217.118.81.19:59181:2744112:7]TIMERSYNC Time ( UID:2744112, Time:123, Speed:1.000000 )
[09:08:0043][217.118.81.19:59181:2744112:7][ERROR]SendErrorMessage(UID:2744112, Protocol:3884, BackProtocol:3884,timestamp(0), Error:80001000, KillReason:7, Message:)
[09:09:-100][178.204.196.61:52160:2950595:22]KILL USER : (KillReasoun : 22)(1) 
[09:09:-100][217.118.81.19:59181:2744112:7]KILL USER : (KillReasoun : 7)(16721) 
[09:09:-100][S][KICKVOTE_RESULT] KickedUser:bwzj1a7b443(UID:2794360) Reason:0, Agreement:5, Disagreement:2
[09:09:-100][84.23.55.54:36544:1525416:22]KILL USER : (KillReasoun : 22)(1) 
[09:09:-100][46.72.72.238:64984:742278:22]KILL USER : (KillReasoun : 22)(1) 
[09:10:-100][2.60.202.80:53252:2478069:22]KILL USER : (KillReasoun : 22)(1) 
[09:10:-100][212.164.157.244:35846:2104238:22]KILL USER : (KillReasoun : 22)(1) 
[09:10:-100][31.131.80.91:47629:2674182:22]KILL USER : (KillReasoun : 22)(1) 
[09:10:-100][188.114.39.67:63697:2904394:22]KILL USER : (KillReasoun : 22)(1) 
[09:11:-100][62.5.166.50:39559:2950099:22]KILL USER : (KillReasoun : 22)(1) 
[09:12:-100][46.36.17.171:58635:2678376:22]KILL USER : (KillReasoun : 22)(1) 
[09:12:-100][178.129.209.68:6593:195584:22]KILL USER : (KillReasoun : 22)(1) 
[09:12:-100][83.149.45.242:58311:2879948:22]KILL USER : (KillReasoun : 22)(1) 
[09:13:-100][89.222.249.111:50940:2351094:22]KILL USER : (KillReasoun : 22)(1) 
[09:14:-100][95.105.54.13:21508:167248:22]KILL USER : (KillReasoun : 22)(1) 
[09:14:-100][213.87.130.211:40329:2431228:22]KILL USER : (KillReasoun : 22)(1) 
